Date,MNO.L,WSBN.L,CGNR.L,THR.L,SJH.L,EVE.L,VAL.L,ALBA.L
2020-02-13,2.450000047683716,1.350000023841858,14.899999618530273,0.28999999165534973,39.0,1.2999999523162842,9.375,0.11999999731779099
2020-02-14,2.450000047683716,1.350000023841858,14.5,0.28999999165534973,39.0,1.2999999523162842,9.125,0.11999999731779099
2020-02-17,2.450000047683716,1.350000023841858,14.0,0.28999999165534973,39.0,1.2999999523162842,5.625,0.11999999731779099
2020-02-18,2.450000047683716,1.350000023841858,10.5,0.36000001430511475,39.0,1.274999976158142,7.25,0.11999999731779099
2020-02-19,2.0999999046325684,1.350000023841858,11.75,0.35499998927116394,39.0,1.2000000476837158,6.625,0.12999999523162842
2020-02-20,2.0999999046325684,1.350000023841858,13.0,0.3499999940395355,39.0,1.225000023841858,8.125,0.12999999523162842
2020-02-21,2.0999999046325684,1.350000023841858,12.75,0.3499999940395355,39.0,1.225000023841858,7.25,0.11999999731779099
2020-02-24,2.0999999046325684,1.350000023841858,12.5,0.33000001311302185,39.0,1.25,6.875,0.10999999940395355
2020-02-25,2.1500000953674316,1.350000023841858,12.25,0.36500000953674316,39.0,1.3250000476837158,6.625,0.10999999940395355
2020-02-26,2.1500000953674316,1.350000023841858,12.25,0.3400000035762787,39.0,1.225000023841858,6.25,0.10999999940395355
2020-02-27,2.1500000953674316,1.350000023841858,12.25,0.3050000071525574,39.0,1.225000023841858,6.25,0.10999999940395355
2020-02-28,2.130000114440918,1.350000023841858,12.0,0.25999999046325684,41.5,1.225000023841858,8.125,0.0949999988079071
2020-03-02,2.130000114440918,1.350000023841858,12.0,0.2800000011920929,41.5,1.225000023841858,9.75,0.10000000149011612
2020-03-03,2.299999952316284,1.350000023841858,12.0,0.2800000011920929,41.5,1.225000023841858,9.125,0.10000000149011612
2020-03-04,2.299999952316284,1.350000023841858,11.75,0.26499998569488525,41.5,1.225000023841858,7.25,0.10000000149011612
2020-03-05,2.299999952316284,1.350000023841858,11.75,0.25999999046325684,40.0,1.225000023841858,7.25,0.09000000357627869
2020-03-06,2.299999952316284,1.350000023841858,11.75,0.23999999463558197,37.5,1.1749999523162842,6.625,0.08500000089406967
2020-03-09,2.1500000953674316,1.350000023841858,12.0,0.20000000298023224,37.5,1.100000023841858,6.875,0.07999999821186066
2020-03-10,2.1500000953674316,1.350000023841858,11.5,0.23999999463558197,37.5,1.125,5.625,0.07999999821186066
